,,,,,MORPHOLOGY,,PASSIVE PROPERTIES (Figure 2),,,,,,,,ACTION POTENTIAL PROPERTIES (Figure 4),,,,,,,,,,,,,,,,,REPETITIVE FIRING PROPERTIES (Figure 5),,,,,,,,,,,,,VSAG (Figure 3),,,,,,,,,
Date,Age,Cell Type,Cell ID,,DIC image (Y/N),Soma area (px2),File Name ,Time ,RMP (mV),Ih(pA),Rs (M𝞨),Ri  (M𝞨),Cm (pF),,File Name ,Time/Timing,Onset rapidness,Step N# for 1st Spike ,Force (V),Ithresh (pA),Ithresh (pA/pF),RMP (mV),Vthresh(mV),Spike Height (mV),AHP Height (mV),AHP(V),AHP(mV),Peak Amplitude (mV),Half Height (mV),Spike Width (ms),,File Name ,Time ,Cm,Ith (pA),Rheobase (pA/pF),First AP Delay(s),First AP Delay(ms),Max No. Spikes,mean Interspike Intervals (ms) max spikes sweep ,ISI CV max spikes sweep,Max freq (Hz),Slope of I-O freq Curve until it rises,,File Name ,Time ,Ith(pA),Hold(mV),Peak (mV),Steady State(mV),Index ,Amplitude(mV),RB Firing (y/n),%cells with RB firing
191219,26,VTA,191219_VTA_4,,,,m191219l,0,-47,-62,7.8618,233.0583,58.73,,m191219l,150/184,23.0908,15,0.6,1200,20.432487655372,-58.1975,-36.438,31.9672,31.173694,-0.67611694,-67.611694,68.4052,-2.2354,0.65,,m191219l,310,58.73,120,2.0432487655372,0.34807,348.07,8,0.06,0.54,19.3167,0.1966,,m191219m,155,60,-55.99,-101.676,-82.402,0.578,45.686,0,
200203,26,VTA,200203_VTA_1,,,,m200203a,0,-50,-20,7.4534,132.9870,77.57,,m200203a,200/219,19.4455,7,0.28,560,7.21928580636844,-60.9604,-43.1213,45.7001,23.208656,-0.66329956,-66.329956,88.8214,1.2894,0.75,,m200203a,305,77.57,80,1.03132654376692,0.2227,222.7,10,0.04,0.51,28.81106345,1.8312,,m200203b,330,120,-61.097,-100.943,-83.862,0.571,39.846,0,
200203,26,VTA,200203_VTA_3,,,,m200203k,5,-56,-20,11.7402,330.9899,32.37,,m200203k,110,15.3399,2,0.08,160,4.94284831634229,-58.506,-37.8113,50.9644,23.025492,-0.60836792,-60.836792,88.7757,6.57655,1.15,,m200203l,170,32.37,80,2.47142415817115,0.19001,190.01,32,0.02,0.14,78.8022,2.5674,,m200203m,170,60,-60.56,-108.869,-108.43,0.991,48.309,0,
200224,23,VTA,200224_VTA_3,,,,m200224k,0,-50,-40,13.2353,206.2177,47.81,,m200224k,280/324,23.4744,15,0.6,1200,25.0993516000837,-59.8531,-33.7982,42.5262,35.400408,-0.69198608,-69.198608,76.3244,4.364,0.55,,m200224k,370,47.81,80,1.67329010667224,0.47032,470.32,8,0.07,0.19,25.1683,0.5934,,m200224l,160,80,-59.193,-105.071,-81.822,0.493,45.878,0,
200224,23,VTA,200224_VTA_4,,,,m200224o,0,-40,-100,7.2698,129.5178,49.33,,m200224o,120/155,19.5014,12,0.48,960,19.4607743766471,-59.3509,-39.3524,41.8854,25.985735,-0.65338135,-65.338135,81.2378,1.26649999999999,0.7,,m200224o,205,49.33,80,1.62173119805392,0.27215,272.15,6,0.09,0.38,34.1793,0.7959,,m200224p,155,120,-59.166,-101.719,-78.026,0.443,42.554,0,
200224,23,VTA,200224_VTA_5,,,,m200224u,0,-52,-5,16.0714,296.8116,39.2,,m200224u,200/237,10.9004,14,0.56,1120,28.5714285714286,-57.4695,-24.9404,39.4745,36.964507,-0.61904907,-61.904907,64.4149,7.26705,0.75,,m200224u,280,39.2,40,1.02040816326531,0.46812,468.12,13,0.03,0.45,43.4972,0.9388,,m200224v,155,40,-62.289,-105.997,-93.537,0.715,43.708,0,
200303,32,VTA,200303_VTA_1,,,,m200303a,0,-40,-60,12.0808,218.3078,43.52,,m200303a,130/144,10.2806,6,0.24,480,11.0294117647059,-59.5007,-36.9263,40.6036,22.29306,-0.5921936,-59.21936,77.5299,1.83865,0.75,,m200303a,175,43.52,40,0.919117647058824,0.18772,187.72,10,0.05,0.02,66.2879,4.9168,,m200303b,190,120,-61.097,-100.943,-83.862,0.571,39.846,0,
200303,32,VTA,200303_VTA_3,,,,m200303i,0,-45,-30,8.1679,191.1785,62.24,,m200303i,100/137,18.6942,13,0.52,1040,16.7095115681234,-59.3907,-37.4298,23.5596,28.228769,-0.65658569,-65.658569,60.9894,-6.9351,0.7,,m200303i,185,62.24,120,1.9280205655527,0.28887,288.87,6,0.09,0.46,27.2359,4.7382,,m200303j,160,80,-58.993,-107.78,-85.68,0.547,48.787,0,
200303,32,VTA,200303_VTA_4,,,,m200303o,0,-60,0,8.4654,213.8903,55.81,,m200303o,110/143,25.9332,11,0.44,880,15.7677835513349,-60.397,-36.7126,25.1923,24.292039,-0.61004639,-61.004639,61.9049,-5.76015,1,,m200303o,195,55.81,80,1.43343486830317,0.4478,447.8,8,0.07,0.48,58.9901,2.0963,,m200303p,155,40,-57.682,-113.268,-86.738,0.523,55.586,0,
200316,18,VTA,200316_VTA_6,,,,m200316u,0,-43,-170,7.4977,106.1828,83.18,,m200316u,260/289,22.4426,10,0.4,800,9.61769656167348,-58.804,-38.5742,50.1862,28.854389,-0.67428589,-67.428589,88.7604,5.806,0.65,,m200316u,380,83.18,80,0.961769656167348,0.22821,228.21,10,0.05,0.43,21.9362,1.6015,,m200316v,160,160,-61.533,-100.414,-81.887,0.523,38.881,0,0
